id,character,title,voice_line,requirements,about,nation
0,Tighnari,Hello,"Hi there. I'm Tighnari, Forest Watcher of the Avidya Forest. My duty is to preserve both the rainforest's ecosystem and the safety of its visitors. If this is your first time here, I suggest you first peruse the Avidya Forest Survival Guide, paying particular attention to the chapter ""Distinguishing Between Edible and Poisonous Mushrooms.""",,,Sumeru
1,Tighnari,Chat: Leaf Bookmark,"If you press a leaf between dry sheets of paper, you can make an attractive and handy bookmark.",,,Sumeru
2,Tighnari,Chat: Mistakes,Don't be afraid to make mistakes. It's all part of the learning process.,,,Sumeru
3,Tighnari,Chat: The Value of Knowledge,The value of knowledge cannot simply be quantified in monetary terms.,,,Sumeru
4,Tighnari,When It Rains,"I'm used to the rain, but you should probably use an umbrella.",,,Sumeru
5,Tighnari,After the Rain,I applied a plant-based waterproofing oil to my tail. One swish and it's dry.,,,Sumeru
6,Tighnari,When Thunder Strikes,"Ah, the thunder's so loud! Ugh... My head hurts...",,,Sumeru
7,Tighnari,When It Snows,"I don't see weather like this very often! Oh, are you cold? If you want, you can tuck your hands into my tail.",,,Sumeru
8,Tighnari,When the Wind Is Blowing,My ears... My ears... They're going to be blown inside out!,,,Sumeru
9,Tighnari,In the Desert,"Gah, it's so hot... Even a Mist Flower would melt in this heat... Ah, now that I think about it, it wouldn't... but you get what I mean, hehe... Ugh...",,,Sumeru
10,Tighnari,Good Morning,"Shh, listen! That's the sound of dew dripping upon the leaves.",,,Sumeru
11,Tighnari,Good Afternoon,"During lunch breaks, I like to sit in a tree and admire the sunlight streaming through the canopy. If I'm not careful, I'll fall asleep... Hehe.",,,Sumeru
12,Tighnari,Good Evening,Good evening. I'm preparing to go observe bioluminescent flora. Want to come?,,,Sumeru
13,Tighnari,Good Night,Get some sleep. I'll be on guard duty — it'll be a good time to write today's patrol log entry.,,,Sumeru
14,Tighnari,About Tighnari: Profession,"I studied botany in the Amurta Darshan. My academic adviser wanted me to join the faculty after graduation, but to be quite honest, I prefer a somewhat freer research environment. From my observations, the way that the Akademiya handles certain matters leaves much to be desired. Fortunately, my adviser didn't push the issue — heh, not like that would've worked.",,,Sumeru
15,Tighnari,About Tighnari: Kin,"Many people think that my kind are loners, and I don't blame them for thinking that. The few of us around are mostly scholars, and we're always chasing our research — so you'd be lucky to spy a single tuft of tail fur in a whole year. Like my father, for example. He's an entomologist, and lately, he's been studying the evolution of beetles in the desert... I have no intention of joining him. I'm ashamed to admit that I don't tolerate the sun very well. Prolonged exposure turns my brain and body into mush.",,,Sumeru
16,Tighnari,About Us: Getting Along,I believe that the best way to achieve mutual understanding with someone is to spend time with them. Other methods are less realistic. That's why there is no need to rush introductions. Time will settle everything.,,,Sumeru
